Hisse,Tarih,close,%Deg,%Vol,5_EMA,8_EMA,13_EMA,21_EMA,4_EMA,9_EMA,9_WMA,15_WMA,200_EMA,PP,VolMov,rsi,K_C5,K_C8,K_C13,K_58,K_513,K_521,K_Ort,Ema_4X9,Ema_5X21,K_W_Ort,K_TkKj,Ort,Tk,Spb,Chk,200,Pvt,Vl,Fh,Macd,Rsi,DI,A,S
EYGYO,03-04-2024,9.98,-1.19,-53.15,10.11,10.24,10.47,10.73,10.08,10.29,10.14,10.31,10.0,9.96,1783815.0,41.09,,,,,,,,-_14-03-2024 09:00:00,-_18-03-2024 09:00:00,,,,,,-,-,+,-,-,,,,1,4
BANVT,03-04-2024,148.3,-2.63,-47.68,153.48,155.82,158.52,159.38,152.62,156.5,154.38,157.96,119.59,149.0,355469.33,42.39,,,,,,,,-_21-03-2024 09:00:00,-_26-03-2024 09:00:00,,,,,,-,,,-,,,,,0,2
BALAT,03-04-2024,21.1,-1.49,-70.01,22.58,23.31,23.98,24.37,22.24,23.48,23.23,23.99,21.96,21.16,87943.0,34.85,,,,,,,,-_25-03-2024 09:00:00,-_27-03-2024 09:00:00,,,,,,-,,,-,,,,,0,2
IHAAS,03-04-2024,13.06,-0.31,-30.55,13.21,13.31,13.47,13.66,13.18,13.34,13.26,13.36,22.81,13.1,580339.67,39.06,,,,,,,,-_14-03-2024 09:00:00,-_14-03-2024 09:00:00,,,,,,-,,,-,-,,,-,0,4
AZTEK,03-04-2024,103.8,-2.63,-62.67,106.37,108.89,113.74,120.1,105.74,109.85,106.72,110.25,100.81,105.2,540461.33,34.61,,,,,,,,-_15-03-2024 09:00:00,-_15-03-2024 09:00:00,,,,,,-,,,-,,,,,0,2
SKTAS,03-04-2024,4.38,-2.23,-40.33,4.54,4.6,4.68,4.75,4.51,4.62,4.6,4.66,4.46,4.4,3387435.67,35.18,,,,,,,,-_15-03-2024 09:00:00,-_18-03-2024 09:00:00,,,,,,-,-,,-,,,,,0,3
BAGFS,03-04-2024,21.34,-3.44,-65.0,22.93,23.51,24.21,25.06,22.66,23.67,23.49,23.92,29.79,21.63,3566917.67,26.53,,,,,,,,-_05-03-2024 09:00:00,-_27-02-2024 09:00:00,,,,,,-,,,-,,,,,0,2
SKYMD,03-04-2024,10.51,-1.41,-54.63,10.76,10.9,11.1,11.27,10.72,10.94,10.79,11.0,10.52,10.55,3850385.0,40.56,,,,,,,,-_14-03-2024 09:00:00,-_18-03-2024 09:00:00,,,,,,,-,,-,-,,,,0,3
SMART,03-04-2024,41.92,-3.94,-45.18,43.72,44.63,46.09,47.48,43.43,44.94,44.01,45.21,31.53,42.52,2421013.33,38.31,,,,,,,,-_12-03-2024 09:00:00,-_15-03-2024 09:00:00,,,,,,-,,,-,,,,-,0,3
SMRTG,03-04-2024,56.0,-1.41,-45.68,56.72,56.7,57.11,58.23,56.75,56.74,56.58,56.31,58.31,56.3,5914413.0,41.35,,,,,,,,+_01-04-2024 09:00:00,-_29-02-2024 09:00:00,,,,,,-,,,-,-,,,,0,3
SNGYO,03-04-2024,3.78,-1.31,-40.72,3.9,3.95,3.99,4.0,3.88,3.96,3.93,4.0,3.32,3.81,23116301.67,41.75,,,,,,,,-_25-03-2024 09:00:00,-_27-03-2024 09:00:00,,,,,,-,,,-,,,,-,0,3
SNICA,03-04-2024,33.7,-2.03,-36.85,34.61,34.82,35.15,35.6,34.5,34.89,34.8,34.89,32.95,33.9,1143393.67,37.35,,,,,,,,-_02-04-2024 09:00:00,-_06-03-2024 09:00:00,,,,,,-,,,-,-,,,,0,3
SKBNK,03-04-2024,4.25,-2.75,-75.73,4.23,4.24,4.28,4.36,4.24,4.24,4.21,4.24,4.55,4.25,66261621.33,43.16,,,-,,,,,-_20-02-2024 09:00:00,-_21-02-2024 09:00:00,,,,-,,-,,,-,,,,,0,4
KAREL,03-04-2024,13.71,-1.86,-64.72,13.96,14.17,14.49,14.83,13.9,14.24,14.01,14.36,13.17,13.79,1751553.33,35.77,,,,,,,,-_05-03-2024 09:00:00,-_11-03-2024 09:00:00,,,,,,-,,-,-,,,,,0,3
SNPAM,03-04-2024,82.0,-1.8,-38.87,84.72,86.12,87.75,89.54,84.16,86.5,85.57,87.47,80.24,82.25,33045.0,36.21,,,,,,,,-_22-03-2024 09:00:00,-_13-03-2024 09:00:00,,,,,,-,,,-,,,,,0,2
