Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip
11-06-2024 10:00,HATSN,50.0,50.3,47.68,50.25,1866003.0,0.05,0.25,0.02,1566.67,0.25,255098.2,631.48,True,2,47.68,47.68,58.05,False
11-06-2024 10:00,ISCTR,15.24,15.61,15.21,15.56,71217823.0,0.05,0.32,0.03,1003.45,0.32,25675504.8,177.38,True,2,15.21,15.21,ATH,False
11-06-2024 10:00,HDFGS,1.84,1.86,1.84,1.86,1624318.0,0.0,0.02,0.0,inf,0.02,736807.6,120.45,True,0,,ATL,1.87,False
11-06-2024 10:00,YKBNK,31.6,32.4,31.54,32.3,19691322.0,0.1,0.7,0.12,464.52,0.7,7698470.8,155.78,True,0,,30.94,ATH,False
10-06-2024 16:00,RUBNS,34.18,35.3,34.12,35.06,259927.0,0.24,0.88,0.03,3284.62,0.88,127286.4,104.21,True,1,35.3,32.8,35.3,False
10-06-2024 14:00,TRILC,27.96,28.8,27.74,28.8,1105587.0,0.0,0.84,0.15,445.45,0.84,543940.0,103.26,True,0,,26.66,29.08,False
10-06-2024 10:00,SUWEN,29.74,30.2,29.5,30.2,157700.0,0.0,0.46,0.12,277.05,0.46,80955.5,94.8,True,0,,27.24,ATH,False
07-06-2024 17:00,IZMDC,6.61,6.7,6.6,6.68,2860434.0,0.02,0.07,0.01,1066.67,0.07,1064649.7,168.67,True,0,,ATL,6.87,False
07-06-2024 17:00,POLHO,13.09,13.31,13.04,13.28,1015707.0,0.03,0.19,0.01,2614.29,0.19,367014.3,176.75,True,0,,ATL,ATH,False
07-06-2024 16:00,KAYSE,27.4,27.94,27.38,27.9,340430.0,0.04,0.5,0.0,12400.0,0.5,204434.0,66.52,True,1,27.94,27.32,27.94,False
07-06-2024 14:00,ALKA,27.78,28.76,27.62,28.62,223424.0,0.14,0.84,0.07,1172.73,0.84,101899.2,119.26,True,0,,27.5,ATH,False
07-06-2024 12:00,YESIL,4.66,4.77,4.64,4.74,468517.0,0.03,0.08,0.0,2566.67,0.08,303477.5,54.38,True,0,,ATL,4.8,False
07-06-2024 11:00,KZBGY,25.56,26.52,25.5,26.5,2592963.0,0.02,0.94,0.2,374.75,0.94,1543697.5,67.97,True,0,,ATL,ATH,False
07-06-2024 11:00,VRGYO,27.34,29.5,27.26,29.42,1147337.0,0.08,2.08,0.18,1081.82,2.08,414089.6,177.07,True,0,,27.14,ATH,False
07-06-2024 11:00,ULUUN,27.74,28.96,27.7,28.78,789370.0,0.18,1.04,0.13,700.0,1.04,195075.2,304.65,True,1,28.96,ATL,28.96,False
07-06-2024 10:00,TEKTU,5.17,5.66,5.16,5.66,15737993.0,0.0,0.49,0.01,6025.0,0.49,7285134.3,116.03,True,1,5.66,4.95,ATH,False
07-06-2024 10:00,JANTS,31.02,33.16,31.02,33.16,5998941.0,0.0,2.14,0.43,397.67,2.14,1940596.8,209.13,True,1,33.16,ATL,ATH,False
06-06-2024 17:00,MEPET,11.76,12.07,11.73,12.04,275318.0,0.03,0.28,0.02,1455.56,0.28,136668.7,101.45,True,0,,ATL,ATH,False
