Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Kosul,rsi,Tarih1,prev_close,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
26-12-2024 10:00,YYAPI,2.29,2.46,2.29,2.42,18875726.0,0.04,0.13,0.01,1200.0,0.13,3148490.1,499.52,True,60.45,2024-12-26,2.28,6.14,1,2.46,2.28,2.46,True,True
26-12-2024 10:00,TUPRS,144.2,144.7,144.1,144.7,2731515.0,0.0,0.5,0.05,900.0,0.5,926031.9,194.97,True,61.64,2024-12-26,143.8,0.63,0,,141.4,146.5,False,False
26-12-2024 10:00,ULKER,111.1,114.4,110.7,113.6,2166389.0,0.8,2.5,0.31,706.45,2.5,579206.0,274.03,True,70.63,2024-12-26,110.0,3.27,0,,107.3,ATH,False,False
26-12-2024 10:00,INVEO,7.34,7.45,7.31,7.42,485120.0,0.03,0.08,0.0,2566.67,0.08,193249.3,151.03,True,62.32,2024-12-26,7.29,1.78,0,,7.07,7.55,False,False
26-12-2024 10:00,SURGY,44.3,46.46,43.98,46.1,673744.0,0.36,1.8,0.08,2095.12,1.8,197591.9,240.98,True,69.27,2024-12-26,44.2,4.3,3,,40.92,47.8,False,False
26-12-2024 10:00,SAYAS,42.6,42.9,42.54,42.82,155060.0,0.08,0.22,0.01,3566.67,0.22,60419.5,156.64,True,57.54,2024-12-26,42.56,0.61,0,,42.0,43.28,False,False
26-12-2024 10:00,SAHOL,98.9,100.1,98.55,100.0,2780999.0,0.1,1.1,0.25,348.98,1.1,1055648.0,163.44,True,77.08,2024-12-26,98.95,1.06,0,,91.0,ATH,False,False
26-12-2024 10:00,QUAGR,3.2,3.24,3.19,3.24,2827562.0,0.0,0.04,0.0,1900.0,0.04,1265872.5,123.37,True,67.26,2024-12-26,3.18,1.89,1,3.24,3.18,ATH,False,False
26-12-2024 10:00,PINSU,6.66,6.77,6.65,6.76,276622.0,0.01,0.1,0.01,669.23,0.1,86127.4,221.18,True,61.2,2024-12-26,6.69,1.05,0,,6.54,7.24,False,False
26-12-2024 10:00,PGSUS,219.4,221.1,219.3,220.7,1224104.0,0.4,1.3,0.13,900.0,1.3,398593.3,207.11,True,62.18,2024-12-26,218.7,0.91,0,,217.9,226.1,False,False
26-12-2024 10:00,OYLUM,9.16,9.3,9.16,9.3,397090.0,0.0,0.14,0.01,1900.0,0.14,105228.5,277.36,True,62.48,2024-12-26,9.16,1.53,0,,9.06,9.55,False,False
26-12-2024 10:00,TKFEN,73.5,75.15,72.95,74.9,681827.0,0.25,1.4,0.13,937.04,1.4,172372.5,295.55,True,68.62,2024-12-26,73.0,2.6,0,,70.4,75.25,False,False
26-12-2024 10:00,OBAMS,51.85,53.35,51.85,53.35,694292.0,0.0,1.5,0.09,1664.71,1.5,209760.3,230.99,True,63.05,2024-12-26,52.0,2.6,0,,50.8,53.95,False,False
26-12-2024 10:00,MAVI,85.9,88.2,85.45,87.95,1332374.0,0.25,2.05,0.35,477.46,2.05,306630.2,334.52,True,75.89,2024-12-26,85.6,2.75,0,,81.25,88.0,False,False
26-12-2024 10:00,LIDFA,3.03,3.07,3.02,3.06,2374946.0,0.01,0.03,0.01,172.73,0.03,1212616.7,95.85,True,59.56,2024-12-26,3.03,0.99,0,,2.92,3.15,False,False
26-12-2024 10:00,KRSTL,5.7,5.72,5.68,5.72,426289.0,0.0,0.02,0.0,1900.0,0.02,144389.5,195.24,True,52.86,2024-12-26,5.69,0.53,0,,5.61,5.75,False,False
26-12-2024 10:00,KOTON,19.11,19.35,19.1,19.34,617484.0,0.01,0.23,0.02,995.24,0.23,197879.5,212.05,True,63.11,2024-12-26,19.11,1.2,0,,18.62,19.68,False,False
26-12-2024 10:00,KLSER,35.3,35.7,35.3,35.6,362574.0,0.1,0.3,0.02,1263.64,0.3,151797.3,138.85,True,55.82,2024-12-26,35.28,0.91,0,,34.66,36.38,False,False
26-12-2024 10:00,ISMEN,44.3,45.04,44.22,44.94,520763.0,0.1,0.64,0.02,3100.0,0.64,201032.0,159.04,True,61.91,2024-12-26,44.14,1.81,0,,42.98,45.14,False,False
26-12-2024 10:00,ADEL,34.36,34.92,34.34,34.9,1006189.0,0.02,0.54,0.05,938.46,0.54,200339.2,402.24,True,61.95,2024-12-26,34.22,1.99,0,,34.04,36.84,True,False
26-12-2024 10:00,XU100,9969.74,10028.78,9962.02,10028.25,713492688.0,0.53,58.51,15.52,277.05,58.51,247581219.4,188.19,True,78.18,2024-12-26,9916.22,1.13,0,,9562.36,10052.85,False,False
26-12-2024 10:00,CCOLA,61.45,62.3,61.0,62.1,1532191.0,0.2,0.65,0.12,420.0,0.65,362221.4,323.0,True,77.73,2024-12-26,60.85,2.05,1,62.3,58.1,62.3,False,False
26-12-2024 10:00,EKOS,24.1,24.4,24.04,24.38,456185.0,0.02,0.28,0.01,1900.0,0.28,161862.6,181.83,True,50.43,2024-12-26,24.08,1.25,2,24.04,24.04,25.54,False,False
26-12-2024 10:00,DAGI,15.97,16.63,15.73,16.6,887353.0,0.03,0.63,0.17,281.82,0.63,349176.7,154.13,True,76.22,2024-12-26,15.94,4.14,0,,13.17,ATH,False,False
26-12-2024 10:00,DOAS,195.7,199.8,195.2,199.2,724115.0,0.6,3.5,0.5,600.0,3.5,167706.9,331.77,True,70.02,2024-12-26,194.0,2.68,0,,190.9,204.2,False,False
26-12-2024 10:00,ATLAS,6.91,7.05,6.8,7.02,230223.0,0.03,0.11,0.01,1471.43,0.11,92780.9,148.14,True,54.99,2024-12-26,7.04,-0.28,2,6.8,6.8,7.49,False,False
26-12-2024 10:00,ALFAS,64.25,66.9,63.9,66.35,1849030.0,0.55,2.1,0.19,1005.26,2.1,356926.5,418.04,True,79.1,2024-12-26,64.2,3.35,0,,60.85,ATH,False,False
26-12-2024 10:00,ALBRK,6.39,6.44,6.37,6.44,5238040.0,0.0,0.05,0.01,257.14,0.05,2389445.8,119.22,True,72.14,2024-12-26,6.38,0.94,0,,6.02,6.48,False,False
26-12-2024 10:00,CEMZY,12.44,13.03,12.4,12.92,7776319.0,0.11,0.48,0.07,548.65,0.48,1638077.4,374.72,True,74.8,2024-12-26,12.46,3.69,1,13.03,11.99,13.03,False,False
26-12-2024 10:00,AVGYO,8.82,9.18,8.82,9.11,2028450.0,0.07,0.29,0.04,590.48,0.29,303284.2,568.83,True,80.72,2024-12-26,8.76,4.0,0,,8.51,ATH,False,False
26-12-2024 10:00,DERHL,16.46,17.3,16.04,17.11,1359556.0,0.19,0.65,0.09,614.29,0.65,410137.2,231.49,True,73.14,2024-12-26,16.49,3.76,0,,15.4,ATH,False,False
26-12-2024 10:00,CEMTS,8.96,9.04,8.96,9.04,320536.0,0.0,0.08,0.01,515.38,0.08,135414.5,136.71,True,66.37,2024-12-26,8.96,0.89,0,,8.8,9.14,False,False
26-12-2024 10:00,CATES,35.5,36.58,35.48,36.5,633444.0,0.08,1.0,0.07,1288.89,1.0,110763.6,471.89,True,70.04,2024-12-26,35.28,3.46,1,36.58,35.2,36.58,False,False
26-12-2024 10:00,BORLS,64.5,65.2,64.45,65.15,126306.0,0.05,0.65,0.12,465.22,0.65,49209.0,156.67,True,51.93,2024-12-26,64.8,0.54,2,64.45,64.45,65.35,False,False
26-12-2024 10:00,BOBET,23.6,24.18,23.38,24.12,1344321.0,0.06,0.52,0.13,293.94,0.52,417771.8,221.78,True,71.36,2024-12-26,23.6,2.2,1,24.18,22.14,24.18,False,False
